attempt,verdict,pred,conf,sha256,confirmed_file,failed_file
1,captcha_ok,PC71,0.9988,8153ad3dc8453e7c,PC71_0001.jpg,
2,captcha_ok,HZ5O,0.9916,1535b03c57ec3786,HZ5O_0002.jpg,
3,captcha_ok,OHWT,0.8886,fda5773dd6b764f6,OHWT_0003.jpg,
4,captcha_ok,1DYV,0.9896,71b39da20962fc27,1DYV_0004.jpg,
5,captcha_wrong,FBSU,0.8633,df56d7084138b6b1,,fail_0005.jpg
6,captcha_wrong,3MV,0.9996,cd6cdf2de28ada67,,fail_0006.jpg
7,captcha_ok,RXOH,0.9409,2f31d5101776fe07,RXOH_0007.jpg,
8,captcha_ok,O1NG,0.973,ade9381f3546b8c2,O1NG_0008.jpg,
9,captcha_ok,U7RF,0.9984,4de9b1b6762229ac,U7RF_0009.jpg,
10,captcha_ok,7TRZ,0.8913,ae339378d703505f,7TRZ_0010.jpg,
11,captcha_ok,9KEW,0.9993,359374ed2b964fc8,9KEW_0011.jpg,
12,captcha_wrong,33TVJ,0.8174,fb6183be70180c15,,fail_0012.jpg
13,captcha_ok,3RRT,0.9979,d28a986af8e469ff,3RRT_0013.jpg,
14,captcha_ok,SBFW,0.9934,5eb30066b9da2c3a,SBFW_0014.jpg,
15,captcha_ok,9Q8M,0.9976,7689ee598ffc7bbb,9Q8M_0015.jpg,
16,captcha_ok,B842,0.978,4dc3447860546ef6,B842_0016.jpg,
17,captcha_ok,0P42,0.9986,5dd268d10e6405b5,0P42_0017.jpg,
18,captcha_ok,LGR1,0.995,1dee9fbc391bb267,LGR1_0018.jpg,
19,captcha_ok,9XGE,0.9996,4c2e891ded0f3f80,9XGE_0019.jpg,
20,captcha_ok,5C4B,0.9052,07c785a7eae2513e,5C4B_0020.jpg,
21,captcha_ok,7FXL,0.9953,06ea517f501fe398,7FXL_0021.jpg,
22,captcha_ok,A7X6,0.9999,4283401dc65c4b86,A7X6_0022.jpg,
23,captcha_ok,V86X,0.9772,89374d03a827c4b2,V86X_0023.jpg,
24,captcha_ok,TNXK,0.9415,0a13286c2afa74b6,TNXK_0024.jpg,
25,captcha_ok,7D48,0.9961,92fff4b8593ac637,7D48_0025.jpg,
26,captcha_ok,K7YJ,0.9768,55250cf329c092fe,K7YJ_0026.jpg,
27,captcha_ok,YULQ,0.9986,b1138db0bbd0fe16,YULQ_0027.jpg,
28,captcha_ok,DW6N,0.9759,81b53b62d77b2bbe,DW6N_0028.jpg,
29,captcha_ok,RS0E,0.9974,51420b6ed7d287e1,RS0E_0029.jpg,
