file,pred_old_model,min_confidence
p_0000,WQ2A,0.4033534824848175
p_0001,SNNV,0.21843010187149048
p_0002,W2YP,0.7831456065177917
p_0003,Z7CK,0.45918431878089905
p_0004,W328,0.6647611260414124
p_0005,RAVT,0.5033950209617615
p_0006,WEAS,0.979952871799469
p_0007,JV6G,0.4412819743156433
p_0008,ARGV,0.4476902186870575
p_0009,4AAZ,0.2511615753173828
p_0010,WDNA,0.4296577274799347
p_0011,WRKC,0.5119548439979553
p_0012,VN5T,0.3475041389465332
p_0013,4CWA,0.460042804479599
p_0014,WUV2,0.3950214684009552
p_0015,W44A,0.4539114534854889
p_0016,WM9P,0.7490935325622559
p_0017,WBDA,0.5037761330604553
p_0018,WVHT,0.6571875214576721
p_0019,WBQV,0.708687424659729
p_0020,W4DR,0.5185489058494568
p_0021,XUAA,0.8229043483734131
p_0022,AQKS,0.7078865766525269
p_0023,AEMJ,0.994945228099823
p_0024,AJYJ,0.7155802249908447
p_0025,ZCXG,0.6302101016044617
p_0026,WUBJ,0.7496472597122192
p_0027,AUSS,0.6763481497764587
p_0028,WCZS,0.5984060764312744
p_0029,WHRV,0.7730993032455444
p_0030,ANGP,0.448051393032074
p_0031,WWAA,0.42114102840423584
p_0032,KVWS,0.47380656003952026
p_0033,XZ4F,0.9944751858711243
p_0034,WNYZ,0.7795418500900269
p_0035,WBNZ,0.9727247357368469
p_0036,SHZA,0.6512656211853027
p_0037,4RZR,0.5642151236534119
p_0038,WSN2,0.5140281915664673
p_0039,WAVY,0.3764037489891052
p_0040,ZYYA,0.4012529253959656
p_0041,XRHM,0.8297041654586792
p_0042,WM4U,0.8277812600135803
p_0043,WNKA,0.5519193410873413
p_0044,V37M,0.8340451121330261
p_0045,XQRJ,0.5207974314689636
p_0046,VUA5,0.7029785513877869
p_0047,SV7F,0.7335296273231506
p_0048,W6SD,0.4403076767921448
p_0049,KVD6,0.4283466935157776
p_0050,AVKA,0.454343318939209
p_0051,WNAR,0.9706069231033325
p_0052,WUT5,0.9562551975250244
p_0053,WXTZ,0.9518206119537354
p_0054,WS6Q,0.5028426647186279
p_0055,XQWS,0.5091661810874939
p_0056,WFDA,0.39834824204444885
p_0057,7YY2,0.5635022521018982
p_0058,WSUS,0.6694804430007935
p_0059,WT7A,0.9204510450363159
p_0060,SX9M,0.5501441359519958
p_0061,SUSA,0.6765952706336975
p_0062,XNFY,0.5363839864730835
p_0063,XUA4,0.4998248815536499
p_0064,A8EZ,0.5152532458305359
p_0065,TN7K,0.6136525869369507
p_0066,NZUA,0.592677116394043
p_0067,XHYA,0.8309264779090881
p_0068,7DAP,0.30750614404678345
p_0069,WNMP,0.558781623840332
p_0070,WABC,0.5973902344703674
p_0071,ZGWF,0.7796627283096313
p_0072,WAQJ,0.8556228876113892
p_0073,JZBS,0.8181309103965759
p_0074,TZ8P,0.5922713279724121
p_0075,NMNX,0.43839970231056213
p_0076,KXMN,0.8667622208595276
p_0077,7C8A,0.4817182123661041
p_0078,WNQA,0.9368301630020142
p_0079,NQGV,0.7288455963134766
p_0080,WCXM,0.6736843585968018
p_0081,SVCR,0.6453493237495422
p_0082,WXUZ,0.6843541264533997
p_0083,ZEUU,0.7456473708152771
p_0084,VVB5,0.4003163278102875
p_0085,T49U,0.8737431764602661
p_0086,CAYB,0.5728652477264404
p_0087,XKXM,0.38654935359954834
p_0088,W2NJ,0.8173977136611938
p_0089,JNNS,0.37452176213264465
p_0090,WRDJ,0.751584529876709
p_0091,XNXF,0.8736345767974854
p_0092,WKCJ,0.8500974774360657
p_0093,JN3N,0.5247078537940979
p_0094,WTSA,0.8118054270744324
p_0095,WS6K,0.8294305801391602
p_0096,Z4XV,0.8238878846168518
p_0097,WJEV,0.7873818278312683
p_0098,4CAA,0.9749524593353271
p_0099,4UKX,0.4637960195541382
p_0100,VZQ5,0.5727472305297852
p_0101,AC8X,0.40175655484199524
p_0102,WSQJ,0.5080220699310303
p_0103,XBAY,0.658069372177124
p_0104,WARV,0.5416171550750732
p_0105,WX2Z,0.9717601537704468
p_0106,WNCA,0.6992799043655396
p_0107,WAXR,0.42540132999420166
p_0108,WNXR,0.941319465637207
p_0109,WX7Y,0.981010377407074
p_0110,W7YA,0.496148020029068
p_0111,K3PA,0.49089372158050537
p_0112,XUKJ,0.5884217023849487
p_0113,WNNT,0.5040442943572998
p_0114,W2SS,0.6759103536605835
p_0115,WSPA,0.5055370330810547
p_0116,SA2X,0.3539496064186096
p_0117,KNUT,0.5601663589477539
p_0118,W4NS,0.35843098163604736
p_0119,ZBMJ,0.7020549774169922
p_0120,WNPA,0.8901612162590027
p_0121,W4GQ,0.3597463071346283
p_0122,XZAS,0.33457231521606445
p_0123,WFVX,0.7059091925621033
p_0124,WC2P,0.6891636252403259
p_0125,SSAS,0.47180718183517456
p_0126,WJUK,0.6323903799057007
p_0127,WSJW,0.534939706325531
p_0128,SXQ9,0.2972652018070221
p_0129,WASJ,0.8974789381027222
p_0130,WSRA,0.9484225511550903
p_0131,WRSJ,0.6154705286026001
p_0132,JNSP,0.44982653856277466
p_0133,KVKA,0.6200867295265198
p_0134,WX2A,0.6189689040184021
p_0135,WMK7,0.48416489362716675
p_0136,NUPT,0.8905093669891357
p_0137,WNJP,0.5734769701957703
p_0138,XZWV,0.6987680196762085
p_0139,WH3A,0.5937105417251587
p_0140,7CQ7,0.5339536070823669
p_0141,XCSA,0.9232768416404724
p_0142,ZSZA,0.7890551090240479
p_0143,WUUN,0.5057268738746643
p_0144,SS7R,0.9834094047546387
p_0145,NXHA,0.4991626441478729
p_0146,4VCA,0.4487428069114685
p_0147,W9T5,0.3745594918727875
p_0148,W28Z,0.5526198744773865
p_0149,WJRT,0.8096020221710205
